variant,question,expected_no_answer,question_type,difficulty,knowledge_scope,crag_action,hit,mrr,recall,precision,correctness,faithfulness,relevance,fallback_appropriate,hallucination,issue_type,summary
"BASELINE_B","佩戴眼镜的人拍因公赴港澳通行证照片时有哪些特别规定？",false,"policy","medium","external_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,1,false,false,"retrieval","检索失败，未返回任何有效信息"
"SYSTEM","佩戴眼镜的人拍因公赴港澳通行证照片时有哪些特别规定？",false,"policy","medium","external_kb","ANSWER",1.0,1.0,1.0,0.3333333333333333,5,5,5,true,false,"none","回答完全符合标准答案和证据"
"BASELINE_A","在杭州北航国际创新研究院临时公寓内，是否允许在房间内吸烟或使用明火？",false,"policy","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,5,3,5,true,true,"generation","答案正确但编造了不存在的管理规定"
"BASELINE_B","在杭州北航国际创新研究院临时公寓内，是否允许在房间内吸烟或使用明火？",false,"policy","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,2,2,4,false,true,"generation","回答错误且编造推断，证据明确禁止却称未提及"
"SYSTEM","在杭州北航国际创新研究院临时公寓内，是否允许在房间内吸烟或使用明火？",false,"policy","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,1,false,false,"retrieval","检索失败，未找到禁烟明火规定"
"BASELINE_A","哪些物品被明确禁止带入杭州北航国际创新研究院临时公寓楼？",false,"eligibility","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","应答但未检索到证据，错误拒答"
"BASELINE_B","哪些物品被明确禁止带入杭州北航国际创新研究院临时公寓楼？",false,"eligibility","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,2,3,4,false,true,"generation","遗漏关键禁带物品，与标准答案严重不符"
"SYSTEM","哪些物品被明确禁止带入杭州北航国际创新研究院临时公寓楼？",false,"eligibility","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到禁止物品相关规定"
"BASELINE_A","《杭州市北京航空航天大学国际创新研究院临时公寓管理办法（试行）》由哪个部门负责解释？",false,"contact","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,4,false,true,"generation","回答编造解释部门，与标准答案不符"
"BASELINE_B","《杭州市北京航空航天大学国际创新研究院临时公寓管理办法（试行）》由哪个部门负责解释？",false,"contact","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,2,2,4,false,true,"generation","错误推断解释部门，证据未支持共同解释"
"SYSTEM","《杭州市北京航空航天大学国际创新研究院临时公寓管理办法（试行）》由哪个部门负责解释？",false,"contact","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,4,false,true,"generation","回答错误且编造解释部门"
"BASELINE_A","进口仪器设备如果要移作他用、转让或出售，需要经过什么审批和手续？",false,"procedure","medium","finance_kb","ANSWER",0.0,0.0,0.0,0.0,3,1,4,false,true,"generation","答案编造校内流程，偏离海关核心审批要求"
"BASELINE_B","进口仪器设备如果要移作他用、转让或出售，需要经过什么审批和手续？",false,"procedure","medium","finance_kb","ANSWER",0.0,0.0,0.0,0.0,5,5,5,true,false,"none","回答准确完整，完全依据证据"
"SYSTEM","进口仪器设备如果要移作他用、转让或出售，需要经过什么审批和手续？",false,"procedure","medium","finance_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,5,4,5,true,true,"generation","答案正确但编造了不存在的章节和流程"
"BASELINE_A","无偿赠送的进口仪器设备在验收、建账和处置方面应如何办理？",false,"procedure","easy","finance_kb","ANSWER",0.0,0.0,0.0,0.0,2,1,4,false,true,"generation","回答编造细节，严重偏离标准答案"
"BASELINE_B","无偿赠送的进口仪器设备在验收、建账和处置方面应如何办理？",false,"procedure","easy","finance_kb","ANSWER",0.0,0.0,0.0,0.0,5,5,5,true,false,"none","回答完全符合标准答案且忠于证据"
"SYSTEM","无偿赠送的进口仪器设备在验收、建账和处置方面应如何办理？",false,"procedure","easy","finance_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,3,2,4,false,true,"generation","回答过度扩展，编造验收分级、签字人等未见于证据的内容"
"BASELINE_A","《杭州市北京航空航天大学中法航空研究院仪器设备类固定资产管理办法（试行）》由哪个部门负责解释？",false,"contact","easy","finance_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,4,false,true,"generation","回答编造解释部门，与标准答案不符"
"BASELINE_B","《杭州市北京航空航天大学中法航空研究院仪器设备类固定资产管理办法（试行）》由哪个部门负责解释？",false,"contact","easy","finance_kb","ANSWER",0.0,0.0,0.0,0.0,5,3,5,true,true,"generation","答案正确但引用页码和条款系编造"
"SYSTEM","《杭州市北京航空航天大学中法航空研究院仪器设备类固定资产管理办法（试行）》由哪个部门负责解释？",false,"contact","easy","finance_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,5,5,5,true,false,"none","回答准确且完全依据证据"
"BASELINE_A","进入国新院图书馆阅览室需要什么证件或方式？",false,"procedure","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,3,2,4,false,true,"generation","回答片面，遗漏刷脸方式且无证据支持"
"BASELINE_B","进入国新院图书馆阅览室需要什么证件或方式？",false,"procedure","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,5,4,5,true,true,"generation","回答基本正确但添加了证据未支持的细节"
"SYSTEM","进入国新院图书馆阅览室需要什么证件或方式？",false,"procedure","easy","campus_life_kb","ANSWER",1.0,0.5,1.0,0.16666666666666666,5,5,5,true,false,"none","回答完全符合证据，准确完整"
"BASELINE_A","在图书馆阅览时，对携带书刊数量有建议吗？",false,"procedure","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,2,1,4,false,true,"generation","答案错误且编造具体数量"
"BASELINE_B","在图书馆阅览时，对携带书刊数量有建议吗？",false,"procedure","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,3,2,5,false,true,"generation","错误引入不存在的'2册'规定"
"SYSTEM","在图书馆阅览时，对携带书刊数量有建议吗？",false,"procedure","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,4,false,true,"generation","回答编造数量限制，证据未提携带册数"
"BASELINE_A","如果在阅览区接打电话，图书馆有什么具体要求？",false,"procedure","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,3,2,4,false,true,"generation","编造电话间等不存在细节"
"BASELINE_B","如果在阅览区接打电话，图书馆有什么具体要求？",false,"procedure","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,5,5,5,true,false,"none","回答完全符合标准答案和证据"
"SYSTEM","如果在阅览区接打电话，图书馆有什么具体要求？",false,"procedure","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,2,1,3,false,true,"generation","回答编造大量未检索到的区域和规则"
"BASELINE_A","供应商中标后无正当理由不签合同，会面临什么处理依据？",false,"policy","easy","finance_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,3,false,false,"retrieval","应答错误，标准答案明确存在"
"BASELINE_B","供应商中标后无正当理由不签合同，会面临什么处理依据？",false,"policy","easy","finance_kb","ANSWER",0.0,0.0,0.0,0.0,3,2,5,false,true,"generation","答案编造法条编号和内容"
"SYSTEM","供应商中标后无正当理由不签合同，会面临什么处理依据？",false,"policy","easy","finance_kb","NO_ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","应答标准答案但未给出"
"BASELINE_A","遇到严重自然灾害时，还能按这个采购管理办法执行吗？",false,"eligibility","medium","finance_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","应答错误，未给出标准答案"
"BASELINE_B","遇到严重自然灾害时，还能按这个采购管理办法执行吗？",false,"eligibility","medium","finance_kb","ANSWER",0.0,0.0,0.0,0.0,5,5,5,true,false,"none","回答完全正确且忠于证据"
"SYSTEM","遇到严重自然灾害时，还能按这个采购管理办法执行吗？",false,"eligibility","medium","finance_kb","CLARIFY",0.0,0.0,0.0,0.0,1,3,2,false,false,"fallback","未回答问题，错误要求用户澄清"
"BASELINE_A","如果上级部门新发了采购相关文件，和本办法冲突，该以哪个为准？",false,"policy","easy","finance_kb","ANSWER",0.0,0.0,0.0,0.0,5,3,5,true,true,"generation","答案正确但编造了上级部门和学校制度依据"
"BASELINE_B","如果上级部门新发了采购相关文件，和本办法冲突，该以哪个为准？",false,"policy","easy","finance_kb","ANSWER",0.0,0.0,0.0,0.0,5,2,5,true,true,"generation","答案正确但编造了不存在的条款"
"SYSTEM","如果上级部门新发了采购相关文件，和本办法冲突，该以哪个为准？",false,"policy","easy","finance_kb","ANSWER",1.0,1.0,1.0,0.25,5,2,5,true,true,"generation","答案正确但编造了不存在的第五十七条"
"BASELINE_A","在国新院图书馆使用电子存包柜时，如果忘记取物密码该怎么办？",false,"procedure","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,3,4,4,true,false,"retrieval","答案部分正确但缺乏关键细节"
"BASELINE_B","在国新院图书馆使用电子存包柜时，如果忘记取物密码该怎么办？",false,"procedure","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,5,5,5,true,false,"none","回答完全符合规定且忠于证据"
"SYSTEM","在国新院图书馆使用电子存包柜时，如果忘记取物密码该怎么办？",false,"procedure","easy","campus_life_kb","ANSWER",1.0,1.0,1.0,0.25,5,5,5,true,false,"none","回答完全符合规定且无编造"
"BASELINE_A","国新院图书馆电子存包柜是否允许存放笔记本电脑？",false,"policy","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"fallback","应答而未答，错误兜底"
"BASELINE_B","国新院图书馆电子存包柜是否允许存放笔记本电脑？",false,"policy","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,5,5,5,true,false,"none","回答准确且完全依据证据"
"SYSTEM","国新院图书馆电子存包柜是否允许存放笔记本电脑？",false,"policy","easy","campus_life_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,5,5,5,true,false,"none","回答准确、忠于证据、无幻觉"
"BASELINE_A","每天闭馆后电子存包柜里的物品会如何处理？",false,"procedure","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,3,1,5,false,true,"generation","回答编造细节，证据缺失"
"BASELINE_B","每天闭馆后电子存包柜里的物品会如何处理？",false,"procedure","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,4,4,5,true,true,"generation","基本正确但编造了认领时间细节"
"SYSTEM","每天闭馆后电子存包柜里的物品会如何处理？",false,"procedure","medium","campus_life_kb","ANSWER",1.0,1.0,1.0,1.0,5,5,5,true,false,"none","回答完全符合标准答案且忠于证据"
"BASELINE_A","本科生办理毕/结业证明书需要提交哪些材料？",false,"procedure","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,2,1,4,false,true,"generation","回答编造材料清单，与标准答案严重不符"
"BASELINE_B","本科生办理毕/结业证明书需要提交哪些材料？",false,"procedure","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,2,4,3,false,false,"retrieval","应答错误，标准答案明确但未检索到"
"SYSTEM","本科生办理毕/结业证明书需要提交哪些材料？",false,"procedure","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,2,3,4,false,true,"generation","回答遗漏关键材料，且错误限定为‘现场补办’"
"BASELINE_A","国家建设高水平大学公派研究生项目出国手续办理中，图书馆和公寓管理部门分别要确认什么？",false,"procedure","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,1,false,false,"retrieval","应答但未检索到证据，错误拒答"
"BASELINE_B","国家建设高水平大学公派研究生项目出国手续办理中，图书馆和公寓管理部门分别要确认什么？",false,"procedure","medium","campus_life_kb","ANSWER",1.0,0.3333333333333333,1.0,0.2,5,5,5,true,false,"none","回答准确完整，完全符合证据"
"SYSTEM","国家建设高水平大学公派研究生项目出国手续办理中，图书馆和公寓管理部门分别要确认什么？",false,"procedure","medium","campus_life_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,5,4,5,true,false,"none","回答准确且忠于证据，无幻觉"
"BASELINE_A","本科在读证明能否全部通过自助机办理？如果不能，什么情况下需去窗口盖章？",false,"procedure","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,2,1,3,false,true,"generation","回答严重偏离标准答案，编造多种窗口办理情形"
"BASELINE_B","本科在读证明能否全部通过自助机办理？如果不能，什么情况下需去窗口盖章？",false,"procedure","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,2,2,4,false,true,"generation","回答编造盖章流程，证据未提在读证明"
"SYSTEM","本科在读证明能否全部通过自助机办理？如果不能，什么情况下需去窗口盖章？",false,"procedure","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,true,"generation","回答错误否认已知事实，且编造自助机用途"
"BASELINE_A","在图书馆阅览区使用手机有哪些具体规定？",false,"policy","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,2,1,3,false,true,"generation","回答严重偏离标准答案且编造细节"
"BASELINE_B","在图书馆阅览区使用手机有哪些具体规定？",false,"policy","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,5,5,5,true,false,"none","回答完全符合证据，准确完整"
"SYSTEM","在图书馆阅览区使用手机有哪些具体规定？",false,"policy","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,3,2,4,false,true,"generation","回答部分正确但编造了不存在的依据"
"BASELINE_A","读者在图书馆自选书刊阅览时，对取阅数量有何建议？",false,"procedure","easy","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,5,3,5,true,true,"generation","答案正确但无证据支持，存在幻觉"
"BASELINE_B","读者在图书馆自选书刊阅览时，对取阅数量有何建议？",false,"procedure","easy","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,3,2,4,false,true,"generation","错误引入不存在的‘2册’规定，编造矛盾"
"SYSTEM","读者在图书馆自选书刊阅览时，对取阅数量有何建议？",false,"procedure","easy","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,2,1,4,false,true,"generation","回答编造数量限制且无证据支持"
"BASELINE_A","杭州北航国际创新研究院的横向科研项目产出的专利，完成单位应该是谁？",false,"policy","easy","research_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"fallback","应答但未作答，错误兜底"
"BASELINE_B","杭州北航国际创新研究院的横向科研项目产出的专利，完成单位应该是谁？",false,"policy","easy","research_kb","ANSWER",0.0,0.0,0.0,0.0,4,4,5,true,true,"generation","回答基本正确但存在未证伪的推断"
"SYSTEM","杭州北航国际创新研究院的横向科研项目产出的专利，完成单位应该是谁？",false,"policy","easy","research_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,5,5,5,true,false,"none","回答完全符合文件规定"
"BASELINE_A","如果《横向科研项目及经费管理办法（试行）》中没有规定某事项，应当依据什么执行？",false,"procedure","medium","research_kb","ANSWER",0.0,0.0,0.0,0.0,3,1,4,false,true,"generation","答案错误，将浙江省、杭州市错写为北京市"
"BASELINE_B","如果《横向科研项目及经费管理办法（试行）》中没有规定某事项，应当依据什么执行？",false,"procedure","medium","research_kb","ANSWER",0.0,0.0,0.0,0.0,3,2,5,false,true,"generation","编造不存在的第四十一条和第九章"
"SYSTEM","如果《横向科研项目及经费管理办法（试行）》中没有规定某事项，应当依据什么执行？",false,"procedure","medium","research_kb","ANSWER",0.0,0.0,0.0,0.0,3,2,4,false,true,"generation","编造不存在的第四十一条及引用文件"
"BASELINE_A","当该管理办法条款与国家新颁布的法律法规冲突时，应如何处理？",false,"policy","medium","research_kb","ANSWER",0.0,0.0,0.0,0.0,4,2,5,false,true,"generation","回答编造细节，偏离标准答案"
"BASELINE_B","当该管理办法条款与国家新颁布的法律法规冲突时，应如何处理？",false,"policy","medium","research_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到相关条款"
"SYSTEM","当该管理办法条款与国家新颁布的法律法规冲突时，应如何处理？",false,"policy","medium","research_kb","REFINE",0.0,0.0,0.0,0.0,5,4,5,true,false,"none","回答正确且忠于法理，符合标准答案"
"BASELINE_A","研究生如何申请火车乘车优惠卡的乘车次数更新？",false,"procedure","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,2,1,3,false,true,"generation","回答编造具体流程，无证据支持"
"BASELINE_B","研究生如何申请火车乘车优惠卡的乘车次数更新？",false,"procedure","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,4,3,5,true,true,"generation","答案基本正确但编造了未提及的细节"
"SYSTEM","研究生如何申请火车乘车优惠卡的乘车次数更新？",false,"procedure","easy","academic_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,5,5,5,true,false,"none","回答准确、忠于证据、无幻觉"
"BASELINE_A","更改火车乘车优惠卡上的学校所在城市（如从北京改为杭州）需要哪些材料？",false,"procedure","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","应答但无检索证据，错误拒答"
"BASELINE_B","更改火车乘车优惠卡上的学校所在城市（如从北京改为杭州）需要哪些材料？",false,"procedure","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,5,5,5,true,false,"none","回答准确、忠于证据、无幻觉"
"SYSTEM","更改火车乘车优惠卡上的学校所在城市（如从北京改为杭州）需要哪些材料？",false,"procedure","medium","academic_kb","ANSWER",1.0,1.0,1.0,0.2,4,4,5,true,false,"none","回答基本正确，但‘需1寸照片’属过度推断"
"BASELINE_A","火车乘车优惠卡的区间修改中，若要更改家乡所在地，需提供什么证明材料？",false,"procedure","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,3,1,4,false,true,"generation","编造户籍证明要求，与标准答案不符"
"BASELINE_B","火车乘车优惠卡的区间修改中，若要更改家乡所在地，需提供什么证明材料？",false,"procedure","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,4,3,5,true,true,"generation","答案部分正确但添加了证据未支持的细节"
"SYSTEM","火车乘车优惠卡的区间修改中，若要更改家乡所在地，需提供什么证明材料？",false,"procedure","medium","academic_kb","ANSWER",1.0,1.0,1.0,0.2,5,5,5,true,false,"none","回答准确、忠于证据、切题"
"BASELINE_A","担任梦拓需要满足哪些基本条件和优先条件？",false,"eligibility","easy","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,2,1,4,false,true,"generation","回答严重偏离标准答案，大量编造条件"
"BASELINE_B","担任梦拓需要满足哪些基本条件和优先条件？",false,"eligibility","easy","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未返回任何相关证据"
"SYSTEM","担任梦拓需要满足哪些基本条件和优先条件？",false,"eligibility","easy","integrated_kb","ANSWER",1.0,0.25,1.0,0.16666666666666666,5,4,5,true,true,"generation","答案基本正确但含未证实细节"
"BASELINE_A","梦拓岗前培训的最低学时要求是多少？培训合格后会获得什么？",false,"procedure","easy","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,2,1,5,false,true,"generation","回答与标准答案不符且编造细节"
"BASELINE_B","梦拓岗前培训的最低学时要求是多少？培训合格后会获得什么？",false,"procedure","easy","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到相关文档"
"SYSTEM","梦拓岗前培训的最低学时要求是多少？培训合格后会获得什么？",false,"procedure","easy","integrated_kb","ANSWER",1.0,0.3333333333333333,1.0,0.16666666666666666,5,4,5,true,false,"none","回答准确，符合标准答案"
"BASELINE_A","每学期梦拓小组可获得多少活动经费？考核优秀的梦拓会得到什么奖励？",false,"policy","medium","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,2,1,4,false,true,"generation","经费数额和奖励内容均错误编造"
"BASELINE_B","每学期梦拓小组可获得多少活动经费？考核优秀的梦拓会得到什么奖励？",false,"policy","medium","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,2,false,false,"retrieval","检索失败，未找到关键信息"
"SYSTEM","每学期梦拓小组可获得多少活动经费？考核优秀的梦拓会得到什么奖励？",false,"policy","medium","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到相关经费与奖励信息"
"BASELINE_A","北航新生研讨课中，由数学科学学院开设、学分为2的课程有哪些？",false,"material","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,3,false,false,"retrieval","检索失败导致未答出正确课程"
"BASELINE_B","北航新生研讨课中，由数学科学学院开设、学分为2的课程有哪些？",false,"material","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,1,false,false,"retrieval","应答错误，未识别出匹配课程"
"SYSTEM","北航新生研讨课中，由数学科学学院开设、学分为2的课程有哪些？",false,"material","medium","academic_kb","ANSWER",1.0,0.5,1.0,0.16666666666666666,5,4,5,true,true,"generation","答案正确但课程代码和学时属编造"
"BASELINE_A","哪门新生研讨课的中文名称是‘仿生飞行器’，开课单位是哪个学院？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,2,1,4,false,true,"generation","开课单位错误，编造学院"
"BASELINE_B","哪门新生研讨课的中文名称是‘仿生飞行器’，开课单位是哪个学院？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,1,false,false,"retrieval","应答错误，未识别出正确课程信息"
"SYSTEM","哪门新生研讨课的中文名称是‘仿生飞行器’，开课单位是哪个学院？",false,"material","easy","academic_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,1,4,3,false,true,"generation","错误否定存在，标准答案已明确给出"
"BASELINE_A","‘走近月宫一号’这门新生研讨课的课程代码和学时分别是多少？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","应答但未检索到证据导致拒答"
"BASELINE_B","‘走近月宫一号’这门新生研讨课的课程代码和学时分别是多少？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","应答但未检索到课程信息"
"SYSTEM","‘走近月宫一号’这门新生研讨课的课程代码和学时分别是多少？",false,"material","easy","academic_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,5,3,5,true,true,"generation","课程代码和学时正确，但编造了新代码、学分和开课单位"
"BASELINE_A","仪器科学与光电工程学院开设的新生研讨课中，学分是1分且课容量为16人的课程有哪些？",false,"material","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","检索失败导致错误拒答"
"BASELINE_B","仪器科学与光电工程学院开设的新生研讨课中，学分是1分且课容量为16人的课程有哪些？",false,"material","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,4,false,true,"generation","回答错误否定，实际存在多门匹配课程"
"SYSTEM","仪器科学与光电工程学院开设的新生研讨课中，学分是1分且课容量为16人的课程有哪些？",false,"material","medium","academic_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,4,3,5,true,true,"generation","部分课程名称和代码系编造，证据未支持"
"BASELINE_A","化学学院在新生研讨课列表中开设了哪两门课程？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,3,false,true,"generation","课程名称完全错误且虚构"
"BASELINE_B","化学学院在新生研讨课列表中开设了哪两门课程？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,3,false,true,"generation","回答完全错误，课程名称与证据不符"
"SYSTEM","化学学院在新生研讨课列表中开设了哪两门课程？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,2,2,3,false,true,"generation","回答编造课程名称，与标准答案不符"
"BASELINE_A","物理学院开设的新生研讨课中，哪一门课的学分为2、课容量为32？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,2,false,false,"retrieval","检索失败导致未作答"
"BASELINE_B","物理学院开设的新生研讨课中，哪一门课的学分为2、课容量为32？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,4,false,true,"generation","错误否定，标准答案存在但被忽略"
"SYSTEM","物理学院开设的新生研讨课中，哪一门课的学分为2、课容量为32？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,1,false,false,"retrieval","应答错误，未识别出匹配课程"
"BASELINE_A","北航图书馆对电子资源批量下载行为有哪些具体限制？",false,"policy","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,3,1,4,false,true,"generation","回答编造大量细节，无证据支持"
"BASELINE_B","北航图书馆对电子资源批量下载行为有哪些具体限制？",false,"policy","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,5,4,5,true,true,"generation","回答基本正确但存在细节编造"
"SYSTEM","北航图书馆对电子资源批量下载行为有哪些具体限制？",false,"policy","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到相关限制条款"
"BASELINE_A","如果北航师生违规下载电子资源，图书馆会采取哪些处理措施？",false,"procedure","easy","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,3,1,4,false,true,"generation","回答编造具体措施，与标准答案不符"
"BASELINE_B","如果北航师生违规下载电子资源，图书馆会采取哪些处理措施？",false,"procedure","easy","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,5,4,5,true,false,"none","回答基本正确，措施与标准答案一致"
"SYSTEM","如果北航师生违规下载电子资源，图书馆会采取哪些处理措施？",false,"procedure","easy","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，应答错误拒答"
"BASELINE_A","校内单位是否可以自行设置代理服务器访问图书馆电子资源？",false,"policy","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,4,2,5,false,true,"generation","答案基本正确但存在编造细节"
"BASELINE_B","校内单位是否可以自行设置代理服务器访问图书馆电子资源？",false,"policy","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,5,5,5,true,false,"none","回答完全符合标准答案和证据"
"SYSTEM","校内单位是否可以自行设置代理服务器访问图书馆电子资源？",false,"policy","medium","affairs_kb","NO_ANSWER",0.0,0.0,0.0,0.0,1,1,1,false,false,"retrieval","检索失败，未找到相关证据"
"BASELINE_A","如果我目前正主持一个在研的省杰出青年科学基金项目，还能申请今年的省面上基金项目吗？",false,"eligibility","medium","research_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","检索失败导致回答错误"
"BASELINE_B","如果我目前正主持一个在研的省杰出青年科学基金项目，还能申请今年的省面上基金项目吗？",false,"eligibility","medium","research_kb","ANSWER",0.0,0.0,0.0,0.0,5,4,5,true,false,"none","回答正确且忠于证据，无幻觉"
"SYSTEM","如果我目前正主持一个在研的省杰出青年科学基金项目，还能申请今年的省面上基金项目吗？",false,"eligibility","medium","research_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,5,4,5,true,false,"none","回答正确且忠于证据，无幻觉"
"BASELINE_A","作为高校教师，我正在承担一项软科学项目，是否符合申报本年度省自然科学基金项目的资格？",false,"eligibility","easy","research_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"fallback","错误兜底，实际应有答案"
"BASELINE_B","作为高校教师，我正在承担一项软科学项目，是否符合申报本年度省自然科学基金项目的资格？",false,"eligibility","easy","research_kb","ANSWER",0.0,0.0,0.0,0.0,5,5,5,true,false,"none","回答完全正确且忠于证据"
"SYSTEM","作为高校教师，我正在承担一项软科学项目，是否符合申报本年度省自然科学基金项目的资格？",false,"eligibility","easy","research_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,5,5,5,true,false,"none","回答正确且完全基于证据"
"BASELINE_A","省基金项目对申请人同年度可申报数量是否有规定？比如能否同时报面上项目和青年项目？",false,"policy","easy","research_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","应答但无证据，错误拒答"
